Non Manufacturers,,,,,Latest,Latest,Latest,Total,,Total,,Retained,Total Equity,,Latest,Latest,Previous,,Latest,Latest,Previous,,Latest,Latest,,,,,,,Working Cap/,Ret. Earnings/,EBIT/,Book Value of Equity/,,,,,,,
AAP,ADVANCE AUTO PARTS INC,Trade,Retail, 2.71 , Low ,2020-04-18,1,2020," 6,572.0 "," 12,072.6 "," 4,831.0 "," 8,535.5 "," 3,799.0 "," 3,537.0 "," 1,740.9 "," 9,709.0 "," 2,697.9 "," 2,952.0 "," 9,454.8 ", 677.2 , 78.4 , 207.9 , 547.7 , 69.4 ,152.87," 10,607.96 "," 3,537 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.144 , 0.315 , 0.045 , 0.414 , 0.95 , 1.03 , 0.30 , 0.43 , 2.71 , Low 
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Services,Technology Services, 2.67 , Low ,2020-03-31,3,2020," 1,361.0 "," 4,913.5 "," 1,255.0 "," 3,710.9 "," 2,135.1 "," 1,202.6 ", 106.0 ," 4,362.2 "," 3,167.1 "," 3,151.0 "," 4,378.3 ", 652.7 , 326.1 , 411.9 , 566.9 , 117.1 ,133.89," 15,678.52 "," 1,203 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.022 , 0.435 , 0.115 , 0.324 , 0.14 , 1.42 , 0.78 , 0.34 , 2.67 , Low 
LH,LABORATORY CORP OF AMERICA HOLDINGS,Services,Healthcare Services, 2.61 , Low ,2020-03-31,1,2020," 2,891.1 "," 17,298.4 "," 2,458.0 "," 10,259.8 "," 7,529.0 "," 7,020.1 ", 433.1 ," 11,554.8 "," 2,823.8 "," 2,791.2 "," 11,587.4 "," 1,330.2 ", (192.6), 318.2 , 819.4 , 97.2 ,194.84," 18,938.45 "," 7,020 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.025 , 0.435 , 0.047 , 0.684 , 0.16 , 1.42 , 0.32 , 0.71 , 2.61 , Low 
ORCL,ORACLE CORP,Services,Technology Services, 2.56 , Medium ,2020-05-31,4,2020," 52,140.0 "," 115,438.0 "," 17,200.0 "," 102,721.0 "," (12,696.0)"," 12,074.0 "," 34,940.0 "," 39,068.0 "," 39,068.0 "," 39,506.0 "," 39,068.0 "," 13,896.0 "," 13,896.0 "," 13,535.0 "," 13,896.0 "," 3,294.0 ",55.25," 181,993.50 "," 12,717 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.303 , (0.110), 0.120 , 0.124 , 1.99 , (0.36), 0.81 , 0.13 , 2.56 , Medium 
PYPL,"PAYPAL HOLDINGS, INC.",Financial,Financial Services, 2.54 , Medium ,2020-06-30,2,2020," 46,500.0 "," 63,166.0 "," 33,729.0 "," 45,482.0 "," 9,788.0 "," 17,640.0 "," 12,771.0 "," 17,772.0 "," 9,879.0 "," 8,433.0 "," 19,218.0 "," 2,719.0 "," 1,349.0 "," 1,223.0 "," 2,845.0 "," 1,185.0 ",192.51," 228,124.35 "," 17,684 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.202 , 0.155 , 0.045 , 0.389 , 1.33 , 0.51 , 0.30 , 0.40 , 2.54 , Medium 
VRSK,"VERISK ANALYTICS, INC.",Services,Technology Services, 2.48 , Medium ,2020-03-31,1,2020, 814.0 ," 6,928.1 "," 1,597.9 "," 4,847.6 "," 4,353.4 "," 2,080.5 ", (783.9)," 2,607.1 ", 689.8 , 625.0 ," 2,671.9 ", 703.1 , 252.3 , 202.4 , 753.0 , 165.7 ,187.17," 31,018.58 "," 2,081 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.113), 0.628 , 0.109 , 0.429 , (0.74), 2.05 , 0.73 , 0.45 , 2.48 , Medium 
NSC,NORFOLK SOUTHERN CORP,Services,Transportation, 2.47 , Medium ,2020-06-30,2,2020," 2,350.0 "," 37,962.0 "," 1,935.0 "," 23,101.0 "," 12,863.0 "," 14,861.0 ", 415.0 ," 11,296.0 "," 4,710.0 "," 5,765.0 "," 10,241.0 "," 3,989.0 "," 1,563.0 "," 2,031.0 "," 3,521.0 ", 257.7 ,188.87," 48,671.80 "," 14,861 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.011 , 0.339 , 0.093 , 0.643 , 0.07 , 1.10 , 0.62 , 0.67 , 2.47 , Medium 
CSX,CSX CORP,Services,Transportation, 2.45 , Medium ,2020-06-30,2,2020," 3,791.0 "," 38,904.0 "," 2,347.0 "," 26,741.0 "," 11,676.0 "," 12,150.0 "," 1,444.0 "," 11,937.0 "," 5,110.0 "," 6,074.0 "," 10,973.0 "," 4,874.0 "," 2,006.0 "," 2,524.0 "," 4,356.0 ", 770.0 ,70.24," 54,084.80 "," 12,163 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.037 , 0.300 , 0.112 , 0.455 , 0.24 , 0.98 , 0.75 , 0.47 , 2.45 , Medium 
PAYC,"PAYCOM SOFTWARE, INC.",Services,Technology Services, 2.44 , Medium ,2020-03-31,1,2020," 1,651.6 "," 2,309.7 "," 1,497.9 "," 1,709.9 ", 639.2 , 599.8 , 153.6 , 737.7 , 242.4 , 199.9 , 780.1 , 226.2 , 89.3 , 62.5 , 253.0 , 58.4 ,286.53," 16,744.81 ", 600 , 6.56 , 3.26 , 6.72 , 1.04 , 0.067 , 0.277 , 0.110 , 0.351 , 0.44 , 0.90 , 0.74 , 0.36 , 2.44 , Medium 
HST,"HOST HOTELS & RESORTS, INC.",Financial,REITs, 2.40 , Medium ,2020-03-31,1,2020," 2,998.0 "," 13,446.0 ", 831.0 ," 6,292.0 ", (451.0)," 7,064.0 "," 2,167.0 "," 5,469.0 "," 1,052.0 "," 1,390.0 "," 5,131.0 ", 799.0 , (11.0), 216.0 , 572.0 , 708.1 ,10.84," 7,675.80 "," 7,070 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.161 , (0.034), 0.043 , 1.124 , 1.06 , (0.11), 0.29 , 1.17 , 2.40 , Medium 
LYB,LYONDELLBASELL INDUSTRIES N.V.,Resources,Chemicals, 2.38 , Medium ,2020-03-31,1,2020," 9,692.0 "," 31,100.0 "," 5,521.0 "," 23,641.0 "," 4,227.0 "," 7,324.0 "," 4,171.0 "," 34,727.0 "," 7,494.0 "," 8,778.0 "," 33,443.0 "," 4,116.0 ", 304.0 ," 1,017.0 "," 3,403.0 ", 334.0 ,65.29," 21,806.86 "," 7,343 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.134 , 0.136 , 0.109 , 0.311 , 0.88 , 0.44 , 0.74 , 0.32 , 2.38 , Medium 
PSX,PHILLIPS 66,Resources,Energy, 2.35 , Medium ,2020-03-31,1,2020," 11,705.0 "," 53,460.0 "," 10,529.0 "," 29,821.0 "," 19,168.0 "," 21,372.0 "," 1,176.0 "," 109,440.0 "," 21,244.0 "," 23,620.0 "," 107,064.0 "," 4,522.0 "," (2,367.0)", 426.0 ," 1,729.0 ", 441.3 ,63.09," 27,844.46 "," 23,639 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.022 , 0.359 , 0.032 , 0.793 , 0.14 , 1.17 , 0.22 , 0.82 , 2.35 , Medium 
GPC,GENUINE PARTS CO,Trade,Wholesale, 2.00 , Medium ,2020-06-30,2,2020," 7,291.3 "," 13,264.0 "," 5,968.7 "," 10,393.1 "," 3,809.6 "," 2,849.3 "," 1,322.6 "," 19,392.3 "," 7,915.8 "," 8,717.1 "," 18,591.0 ", 860.0 , (122.2), 506.2 , 231.6 , 144.7 ,90.48," 13,088.57 "," 2,871 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.100 , 0.287 , 0.017 , 0.276 , 0.65 , 0.94 , 0.12 , 0.29 , 2.00 , Medium 
FTI,TECHNIPFMC PLC,0,0, 2.35 , Medium ,2018-09-30,3,2018," 11,563.2 "," 26,660.0 "," 8,702.8 "," 13,796.0 "," 3,421.1 "," 12,804.8 "," 2,860.4 "," 15,056.9 "," 9,229.9 "," 11,373.9 "," 12,912.9 "," 1,067.0 ", 723.6 , 756.5 ," 1,034.1 ", 464.0 ,8.01," 3,716.64 "," 12,824 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.107 , 0.128 , 0.039 , 0.930 , 0.70 , 0.42 , 0.26 , 0.97 , 2.35 , Medium 
JBHT,HUNT J B TRANSPORT SERVICES INC,Services,Transportation, 2.31 , Medium ,2020-06-30,2,2020," 1,544.7 "," 5,553.6 ", 970.7 ," 3,162.8 ", -   ," 2,390.8 ", 574.0 ," 9,165.3 "," 4,426.4 "," 4,351.3 "," 9,240.4 ", 733.8 , 329.9 , 360.9 , 702.9 , 106.8 ,129.04," 13,776.96 "," 2,391 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.103 , -   , 0.127 , 0.756 , 0.68 , -   , 0.85 , 0.79 , 2.31 , Medium 
ROL,ROLLINS INC,Services,Business Services, 2.24 , Medium ,2020-03-31,1,2020, 304.8 ," 1,771.5 ", 417.9 , 971.1 , 426.5 , 800.4 , (113.0)," 2,015.5 ", 487.9 , 429.1 ," 2,074.3 ", 267.5 , 57.3 , 55.6 , 269.2 , 327.7 ,51.63," 16,918.22 ", 800 , 6.56 , 3.26 , 6.72 , 1.04 , (0.064), 0.241 , 0.152 , 0.824 , (0.42), 0.78 , 1.02 , 0.86 , 2.24 , Medium 
SYF,SYNCHRONY FINANCIAL,Financial,Financial Services, 2.24 , Medium ,2017-12-31,4,2017," 92,463.0 "," 95,808.0 "," 56,488.0 "," 81,574.0 "," 6,809.0 "," 14,234.0 "," 35,975.0 ", -   , -   , -   , -   ," (9,043.0)"," (9,043.0)"," (7,402.0)"," (9,043.0)", 799.7 ,23.17," 18,529.05 "," 14,234 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.375 , 0.071 , (0.094), 0.174 , 2.46 , 0.23 , (0.63), 0.18 , 2.24 , Medium 
FLT,FLEETCOR TECHNOLOGIES INC,Financial,Financial Services, 2.23 , Medium ,2020-03-31,1,2020," 4,129.0 "," 11,310.2 "," 4,460.1 "," 8,513.9 "," 4,859.8 "," 2,796.2 ", (331.1)," 2,648.8 ", 661.1 , 621.8 ," 2,688.1 "," 1,231.4 ", 201.0 , 284.2 ," 1,148.2 ", 88.2 ,259.49," 22,888.32 "," 2,796 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.029), 0.430 , 0.102 , 0.328 , (0.19), 1.40 , 0.68 , 0.34 , 2.23 , Medium 
CRM,"SALESFORCE.COM, INC.",Services,Technology Services, 2.23 , Medium ,2020-04-30,1,2021," 14,713.0 "," 53,623.0 "," 12,843.0 "," 19,058.0 "," 1,960.0 "," 34,565.0 "," 1,870.0 "," 17,098.0 "," 4,865.0 "," 3,737.0 "," 18,226.0 ", 297.0 , (140.0), 210.0 , (53.0), 913.0 ,191.7," 175,022.10 "," 34,565 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.035 , 0.037 , (0.001), 1.814 , 0.23 , 0.12 , (0.01), 1.89 , 2.23 , Medium 
COST,COSTCO WHOLESALE CORP /NEW,Trade,Retail, 2.23 , Medium ,2020-05-10,3,2020," 25,254.0 "," 51,732.0 "," 22,779.0 "," 34,529.0 "," 11,883.0 "," 16,802.0 "," 2,475.0 "," 152,703.0 "," 113,378.0 "," 105,205.0 "," 160,876.0 "," 4,737.0 "," 3,506.0 "," 3,274.0 "," 4,969.0 ", 443.8 ,324.82," 144,140.17 "," 17,203 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.048 , 0.230 , 0.096 , 0.498 , 0.31 , 0.75 , 0.65 , 0.52 , 2.23 , Medium 
DISCA,"DISCOVERY, INC.",Services,Media, 2.22 , Medium ,2020-03-31,1,2020," 4,626.0 "," 33,390.0 "," 2,875.0 "," 21,986.0 "," 7,712.0 "," 9,470.0 "," 1,751.0 "," 11,144.0 "," 2,683.0 "," 2,707.0 "," 11,120.0 "," 3,009.0 ", 779.0 , 774.0 ," 3,014.0 ", 685.0 ,21.15," 14,487.75 "," 10,962 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.052 , 0.231 , 0.090 , 0.499 , 0.34 , 0.75 , 0.61 , 0.52 , 2.22 , Medium 
FDX,FEDEX CORP,Services,Transportation, 2.21 , Medium ,2020-05-31,4,2020," 16,383.0 "," 73,537.0 "," 10,344.0 "," 55,242.0 "," 25,216.0 "," 18,295.0 "," 6,039.0 "," 69,217.0 "," 69,217.0 "," 69,693.0 "," 69,217.0 "," 2,295.0 "," 2,295.0 "," 1,215.0 "," 2,295.0 ", 262.0 ,172.71," 45,250.02 "," 18,295 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.082 , 0.343 , 0.031 , 0.331 , 0.54 , 1.12 , 0.21 , 0.34 , 2.21 , Medium 
GPN,GLOBAL PAYMENTS INC,Financial,Financial Services, 2.21 , Medium ,2020-03-31,1,2020," 4,069.7 "," 43,849.6 "," 3,036.3 "," 16,329.2 "," 2,335.4 "," 27,320.8 "," 1,033.4 "," 4,911.9 "," 1,903.6 ", 883.0 ," 5,932.5 ", 791.4 , 244.0 , 199.5 , 835.9 , 300.8 ,176.08," 52,971.56 "," 27,520 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.024 , 0.053 , 0.019 , 1.685 , 0.15 , 0.17 , 0.13 , 1.75 , 2.21 , Medium 
RTX,RAYTHEON TECHNOLOGIES CORP,Conglomorates,Conglomorates, 2.21 , Medium ,2020-06-30,2,2020," 42,274.0 "," 161,517.0 "," 35,291.0 "," 92,590.0 "," 49,744.0 "," 67,225.0 "," 6,983.0 "," 77,046.0 "," 25,421.0 "," 22,282.0 "," 80,185.0 "," 8,445.0 "," (2,465.0)"," 2,528.0 "," 3,452.0 "," 1,225.4 ",57.46," 70,411.48 "," 68,892 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.043 , 0.308 , 0.021 , 0.744 , 0.28 , 1.00 , 0.14 , 0.77 , 2.21 , Medium 
DG,DOLLAR GENERAL CORP,Trade,Retail, 2.19 , Medium ,2020-05-01,1,2021," 6,992.5 "," 24,848.3 "," 4,843.2 "," 17,638.9 "," 3,659.8 "," 7,209.5 "," 2,149.3 "," 27,754.0 "," 8,448.4 "," 6,623.2 "," 29,579.2 "," 2,302.3 ", 866.8 , 512.2 ," 2,656.9 ", 253.6 ,191.32," 48,523.92 "," 7,209 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.086 , 0.147 , 0.107 , 0.409 , 0.57 , 0.48 , 0.72 , 0.43 , 2.19 , Medium 
ADP,AUTOMATIC DATA PROCESSING INC,Services,Business Services, 2.19 , Medium ,2020-03-31,3,2020," 35,708.7 "," 43,383.4 "," 34,672.8 "," 37,892.7 "," 18,416.5 "," 5,490.7 "," 1,035.9 "," 14,175.2 "," 11,213.0 "," 10,630.9 "," 14,757.3 "," 3,024.4 "," 2,597.6 "," 2,401.0 "," 3,221.0 ", 433.5 ,132.89," 57,607.82 "," 5,491 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.024 , 0.425 , 0.074 , 0.145 , 0.16 , 1.38 , 0.50 , 0.15 , 2.19 , Medium 
CTVA,"CORTEVA, INC.",Resources,Agricultural, 2.19 , Medium ,2020-03-31,1,2020," 14,679.0 "," 42,978.0 "," 9,199.0 "," 18,899.0 ", (155.0)," 23,825.0 "," 5,480.0 "," 13,846.0 "," 3,956.0 "," 3,396.0 "," 14,406.0 ", (382.0), 417.0 , (223.0), 258.0 , 752.5 ,28.48," 21,431.20 "," 24,079 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.128 , (0.004), 0.006 , 1.274 , 0.84 , (0.01), 0.04 , 1.33 , 2.19 , Medium 
HAL,HALLIBURTON CO,Resources,Energy, 2.16 , Medium ,2020-06-30,2,2020," 9,099.0 "," 21,104.0 "," 4,094.0 "," 15,908.0 "," 9,098.0 "," 5,189.0 "," 5,005.0 "," 22,408.0 "," 8,233.0 "," 11,667.0 "," 18,974.0 ", (448.0)," (2,482.0)", 668.0 ," (3,598.0)", 877.0 ,14.67," 12,865.59 "," 5,196 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.237 , 0.431 , (0.170), 0.327 , 1.56 , 1.41 , (1.15), 0.34 , 2.16 , Medium 
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",Services,Business Services, 2.15 , Medium ,2020-04-03,1,2020," 7,211.0 "," 38,105.0 "," 5,123.0 "," 16,078.0 "," 2,151.0 "," 21,898.0 "," 2,088.0 "," 6,801.0 "," 4,626.0 "," 1,728.0 "," 9,699.0 "," 1,092.0 ", 189.0 , 279.0 ," 1,002.0 ", 219.3 ,173.23," 37,989.34 "," 22,027 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.055 , 0.056 , 0.026 , 1.370 , 0.36 , 0.18 , 0.18 , 1.42 , 2.15 , Medium 
PEAK,"HEALTHPEAK PROPERTIES, INC.",Financial,REITs, 2.14 , Medium ,2020-03-31,1,2020," 1,195.8 "," 16,072.7 "," 2,015.3 "," 4,747.1 ", -   ," 10,748.7 ", (819.5)," 1,987.5 ", 581.5 , 434.4 ," 2,134.6 ", 129.3 , (45.3), 103.4 , (19.4), 515.0 ,27.78," 14,307.95 "," 11,326 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.051), -   , (0.001), 2.386 , (0.33), -   , (0.01), 2.48 , 2.14 , Medium 
INFO,IHS MARKIT LTD.,Services,Business Services, 2.13 , Medium ,2020-05-31,2,2020," 1,302.4 "," 16,128.9 "," 1,791.2 "," 8,007.3 "," 3,677.8 "," 8,108.4 ", (488.8)," 4,414.6 "," 2,107.4 "," 2,181.9 "," 4,340.1 "," 1,000.7 ", 684.6 , 413.2 ," 1,272.1 ", 402.1 ,80.13," 32,220.27 "," 8,108 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.030), 0.228 , 0.079 , 1.013 , (0.20), 0.74 , 0.53 , 1.05 , 2.13 , Medium 
NDAQ,"NASDAQ, INC.",Financial,Financial Services, 2.11 , Medium ,2020-03-31,1,2020," 5,270.0 "," 14,798.0 "," 5,450.0 "," 9,400.0 "," 5,140.0 "," 5,396.0 ", (180.0)," 4,262.0 "," 1,353.0 "," 1,039.0 "," 4,576.0 "," 1,017.0 ", 275.0 , 275.0 ," 1,017.0 ", 166.8 ,129.9," 21,664.27 "," 5,398 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.012), 0.347 , 0.069 , 0.574 , (0.08), 1.13 , 0.46 , 0.60 , 2.11 , Medium 
HRB,H&R BLOCK INC,Services,Business Services, 2.08 , Medium ,2020-04-30,4,2020," 3,086.7 "," 5,112.0 "," 1,575.6 "," 5,041.0 ", 43.0 , 71.0 ," 1,511.1 "," 2,639.7 "," 2,639.7 "," 3,094.9 "," 2,639.7 ", 77.1 , 77.1 , 615.8 , 77.1 , 198.1 ,14.85," 2,941.90 ", 71 , 6.56 , 3.26 , 6.72 , 1.04 , 0.296 , 0.008 , 0.015 , 0.014 , 1.94 , 0.03 , 0.10 , 0.01 , 2.08 , Medium 
WELL,WELLTOWER INC.,Financial,REITs, 1.98 , Medium ,2020-03-31,1,2020, 614.3 ," 32,923.0 "," 1,309.6 "," 15,427.3 "," 7,659.0 "," 16,132.8 ", (695.4)," 5,121.3 "," 1,258.6 "," 1,272.2 "," 5,107.7 "," 1,094.1 ", 225.3 , 279.1 ," 1,040.3 ", 412.4 ,54.52," 22,485.14 "," 17,066 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.021), 0.233 , 0.032 , 1.106 , (0.14), 0.76 , 0.21 , 1.15 , 1.98 , Medium 
PLD,"PROLOGIS, INC.",Financial,REITs, 1.98 , Medium ,2020-06-30,2,2020, 549.1 ," 55,221.9 "," 1,629.1 "," 18,475.6 "," (2,115.7)"," 32,242.9 "," (1,080.0)"," 3,330.6 "," 2,244.4 "," 1,562.4 "," 4,012.6 ", 991.9 , 755.4 , 406.2 ," 1,341.2 ", 746.0 ,105.19," 78,474.58 "," 36,746 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.020), (0.038), 0.024 , 1.989 , (0.13), (0.12), 0.16 , 2.07 , 1.98 , Medium 
CF,"CF INDUSTRIES HOLDINGS, INC.",Resources,Chemicals, 1.98 , Medium ,2020-03-31,1,2020," 1,480.0 "," 12,441.0 "," 1,235.0 "," 7,038.0 "," 1,961.0 "," 2,728.0 ", 245.0 ," 4,590.0 ", 971.0 ," 1,001.0 "," 4,560.0 "," 1,008.0 ", 144.0 , 158.0 , 994.0 , 216.6 ,30.81," 6,673.45 "," 5,403 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.020 , 0.158 , 0.080 , 0.768 , 0.13 , 0.51 , 0.54 , 0.80 , 1.98 , Medium 
URI,"UNITED RENTALS, INC.",Services,Business Services, 1.96 , Medium ,2020-06-30,2,2020," 1,622.0 "," 17,900.0 "," 1,921.0 "," 13,993.0 "," 5,660.0 "," 3,907.0 ", (299.0)," 9,351.0 "," 4,064.0 "," 4,407.0 "," 9,008.0 "," 2,153.0 ", 739.0 , 898.0 ," 1,994.0 ", 73.3 ,156.91," 11,496.80 "," 3,907 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.017), 0.316 , 0.111 , 0.279 , (0.11), 1.03 , 0.75 , 0.29 , 1.96 , Medium 
AVB,AVALONBAY COMMUNITIES INC,Financial,REITs, 1.90 , Medium ,2020-03-31,1,2020," 1,505.1 "," 19,891.3 ", 544.7 ," 8,976.1 ", 225.7 ," 10,911.9 ", 960.4 ," 2,324.6 ", 601.7 , 566.2 ," 2,360.1 ", 833.1 , 207.4 , 205.6 , 834.9 , 140.8 ,151.2," 21,285.61 "," 10,913 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.048 , 0.011 , 0.042 , 1.216 , 0.32 , 0.04 , 0.28 , 1.26 , 1.90 , Medium 
DOW,DOW INC.,Resources,Chemicals, 1.88 , Medium ,2020-06-30,2,2020," 16,997.0 "," 59,276.0 "," 9,786.0 "," 46,179.0 "," 16,017.0 "," 12,537.0 "," 7,211.0 "," 42,951.0 "," 18,124.0 "," 21,983.0 "," 39,092.0 ", (762.0), 819.0 , 912.0 , (855.0), 741.0 ,41.73," 30,921.93 "," 13,097 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.122 , 0.270 , (0.014), 0.284 , 0.80 , 0.88 , (0.10), 0.29 , 1.88 , Medium 
MGM,MGM RESORTS INTERNATIONAL,Services,Hospitality, 1.88 , Medium ,2020-03-31,1,2020," 7,597.9 "," 39,118.9 "," 2,626.2 "," 25,697.3 "," 4,934.3 "," 8,173.9 "," 4,971.7 "," 12,899.7 "," 2,252.8 "," 3,176.9 "," 11,975.6 "," 1,142.7 ", (276.8), 331.5 , 534.3 , 497.0 ,16.64," 8,269.81 "," 13,332 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.127 , 0.126 , 0.014 , 0.519 , 0.83 , 0.41 , 0.09 , 0.54 , 1.88 , Medium 
DIS,WALT DISNEY CO,Services,Media, 1.86 , Medium ,2020-03-28,2,2020," 33,274.0 "," 206,294.0 "," 35,473.0 "," 102,321.0 "," 43,721.0 "," 90,407.0 "," (2,199.0)"," 69,570.0 "," 38,867.0 "," 30,225.0 "," 78,212.0 "," 10,668.0 "," 3,916.0 "," 6,144.0 "," 8,440.0 "," 1,816.0 ",115.66," 210,038.56 "," 94,877 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.011), 0.212 , 0.041 , 0.927 , (0.07), 0.69 , 0.27 , 0.96 , 1.86 , Medium 
BBY,BEST BUY CO INC,Trade,Retail, 1.84 , Medium ,2020-05-02,1,2021," 8,996.0 "," 15,605.0 "," 8,804.0 "," 12,195.0 "," 3,126.0 "," 3,410.0 ", 192.0 ," 43,638.0 "," 8,562.0 "," 9,142.0 "," 43,058.0 "," 2,009.0 ", 229.0 , 334.0 ," 1,904.0 ", 260.4 ,100.03," 26,047.81 "," 3,410 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.012 , 0.200 , 0.122 , 0.280 , 0.08 , 0.65 , 0.82 , 0.29 , 1.84 , Medium 
KR,KROGER CO,Trade,Retail, 1.83 , Medium ,2020-05-23,1,2021," 12,175.0 "," 46,942.0 "," 14,671.0 "," 37,614.0 "," 22,062.0 "," 9,356.0 "," (2,496.0)"," 122,286.0 "," 41,549.0 "," 37,251.0 "," 126,584.0 "," 2,251.0 "," 1,337.0 ", 904.0 ," 2,684.0 ", 788.0 ,34.41," 27,115.08 "," 9,328 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.053), 0.470 , 0.057 , 0.248 , (0.35), 1.53 , 0.38 , 0.26 , 1.83 , Medium 
HWM,HOWMET AEROSPACE INC.,Resources,Metals & Mining, 1.82 , Medium ,2020-03-31,1,2020," 6,948.0 "," 18,465.0 "," 4,107.0 "," 13,668.0 ", 335.0 ," 4,783.0 "," 2,841.0 "," 14,192.0 "," 3,209.0 "," 3,541.0 "," 13,860.0 "," 1,035.0 ", 399.0 , 374.0 ," 1,060.0 ", 440.0 ,15.13," 6,657.20 "," 4,797 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.154 , 0.018 , 0.057 , 0.351 , 1.01 , 0.06 , 0.39 , 0.37 , 1.82 , Medium 
DVA,DAVITA INC.,Services,Healthcare Services, 1.59 , Medium ,2020-06-30,2,2020," 5,779.8 "," 19,305.1 "," 4,274.6 "," 15,729.3 "," 1,872.9 "," 2,153.9 "," 1,505.3 "," 11,388.5 "," 5,721.2 "," 5,585.8 "," 11,523.9 "," 1,643.3 ", 891.5 , 802.4 ," 1,732.5 ", 125.5 ,91.12," 11,433.64 "," 2,334 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.078 , 0.097 , 0.090 , 0.148 , 0.51 , 0.32 , 0.60 , 0.15 , 1.59 , Medium 
RSG,"REPUBLIC SERVICES, INC.",Utilities,Infrastructure, 1.80 , Medium ,2020-03-31,1,2020," 1,753.9 "," 22,908.9 "," 1,980.6 "," 14,788.7 "," 5,433.6 "," 8,117.2 ", (226.7)," 10,299.4 "," 2,553.9 "," 2,470.6 "," 10,382.7 "," 1,772.5 ", 429.1 , 423.1 ," 1,778.5 ", 320.2 ,87.06," 27,879.31 "," 8,120 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.010), 0.237 , 0.078 , 0.549 , (0.06), 0.77 , 0.52 , 0.57 , 1.80 , Medium 
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",Services,Technology Services, 1.80 , Medium ,2020-03-31,1,2020," 8,346.0 "," 82,474.0 "," 7,926.0 "," 33,117.0 "," 3,952.0 "," 49,167.0 ", 420.0 ," 10,333.0 "," 3,078.0 "," 2,057.0 "," 11,354.0 ", 969.0 , 108.0 , 315.0 , 762.0 , 625.0 ,145.2," 90,750.00 "," 49,182 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.005 , 0.048 , 0.009 , 1.485 , 0.03 , 0.16 , 0.06 , 1.54 , 1.80 , Medium 
UPS,UNITED PARCEL SERVICE INC,Services,Transportation, 1.76 , Medium ,2020-03-31,1,2020," 19,389.0 "," 60,895.0 "," 15,846.0 "," 57,582.0 "," 9,137.0 "," 3,299.0 "," 3,543.0 "," 74,094.0 "," 18,035.0 "," 17,160.0 "," 74,969.0 "," 7,798.0 "," 1,072.0 "," 1,394.0 "," 7,476.0 ", 869.0 ,141.46," 122,928.74 "," 3,313 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.058 , 0.150 , 0.123 , 0.058 , 0.38 , 0.49 , 0.83 , 0.06 , 1.76 , Medium 
